iter	Passed	Remaining
0	3	3691
1	3	1970
2	4	1388
3	4	1099
4	4	924
5	4	805
6	5	721
7	5	656
8	5	612
9	5	573
10	6	543
11	6	516
12	6	493
13	6	482
14	7	465
15	7	450
16	7	436
17	7	424
18	8	413
19	8	403
20	8	394
21	8	386
22	8	379
23	9	373
24	9	367
25	9	361
26	9	355
27	10	350
28	10	346
29	10	342
30	10	338
31	11	334
32	11	330
33	11	330
34	11	327
35	12	325
36	12	322
37	12	319
38	12	318
39	13	317
40	13	314
41	13	312
42	13	310
43	14	307
44	14	305
45	14	303
46	14	302
47	15	300
48	15	298
49	15	297
50	15	295
51	16	293
52	16	291
53	16	290
54	16	288
55	17	287
56	17	286
57	17	284
58	17	283
59	18	282
60	18	281
61	18	280
62	18	278
63	18	277
64	19	275
65	19	274
66	19	273
67	19	272
68	20	271
69	20	270
70	20	269
71	20	267
72	21	266
73	21	265
74	21	264
75	21	264
76	21	263
77	22	262
78	22	261
79	22	260
80	22	259
81	23	258
82	23	256
83	23	255
84	23	255
85	23	254
86	24	253
87	24	252
88	24	251
89	24	251
90	25	250
91	25	249
92	25	248
93	25	248
94	26	248
95	26	247
96	26	247
97	26	246
98	27	246
99	27	246
100	27	245
101	27	244
102	28	244
103	28	244
104	28	243
105	28	242
106	29	242
107	29	241
108	29	241
109	29	240
110	30	240
111	30	239
112	30	239
113	30	238
114	30	237
115	31	237
116	31	236
117	31	235
118	31	235
119	32	234
120	32	234
121	32	233
122	32	232
123	32	232
124	33	232
125	33	231
126	33	230
127	33	230
128	34	229
129	34	229
130	34	229
131	34	228
132	34	227
133	35	227
134	35	227
135	35	226
136	35	226
137	36	225
138	36	225
139	36	224
140	36	224
141	36	223
142	37	222
143	37	222
144	37	222
145	37	221
146	38	221
147	38	221
148	38	220
149	38	220
150	39	219
151	39	219
152	39	219
153	39	218
154	40	218
155	40	217
156	40	217
157	40	216
158	41	216
159	41	216
160	41	215
161	41	215
162	41	214
163	42	214
164	42	214
165	42	213
166	42	213
167	43	213
168	43	212
169	43	212
170	43	212
171	43	211
172	44	211
173	44	211
174	44	210
175	44	210
176	45	210
177	45	209
178	45	209
179	45	209
180	46	209
181	46	208
182	46	208
183	46	208
184	47	208
185	47	208
186	47	208
187	48	207
188	48	207
189	48	207
190	48	206
191	49	206
192	49	205
193	49	205
194	49	205
195	49	205
196	50	204
197	50	204
198	50	204
199	50	203
200	51	203
201	51	203
202	51	202
203	51	202
204	52	202
205	52	201
206	52	201
207	52	201
208	53	200
209	53	200
210	53	200
211	53	199
212	53	199
213	54	199
214	54	198
215	54	198
216	54	198
217	55	197
218	55	197
219	55	197
220	55	197
221	56	196
222	56	196
223	56	196
224	56	196
225	57	195
226	57	195
227	57	195
228	58	195
229	58	195
230	58	194
231	58	194
232	58	194
233	59	193
234	59	193
235	59	193
236	59	193
237	60	192
238	60	192
239	60	192
240	60	192
241	61	191
242	61	191
243	61	191
244	62	191
245	62	191
246	62	190
247	62	190
248	63	190
249	63	189
250	63	189
251	63	189
252	64	189
253	64	188
254	64	188
255	64	188
256	65	188
257	65	187
258	65	187
259	65	187
260	66	187
261	66	186
262	66	186
263	66	186
264	66	185
265	67	185
266	67	185
267	67	184
268	67	184
269	68	184
270	68	183
271	68	183
272	68	183
273	69	183
274	69	182
275	69	182
276	69	182
277	70	181
278	70	181
279	70	181
280	70	181
281	70	180
282	71	180
283	71	180
284	71	179
285	71	179
286	72	179
287	72	179
288	72	178
289	72	178
290	73	178
291	73	177
292	73	177
293	73	177
294	74	176
295	74	176
296	74	176
297	74	176
298	75	175
299	75	175
300	75	175
301	75	174
302	75	174
303	76	174
304	76	174
305	76	173
306	76	173
307	77	173
308	77	172
309	77	172
310	77	172
311	77	171
312	78	171
313	78	171
314	78	171
315	79	171
316	79	170
317	79	170
318	79	170
319	80	170
320	80	170
321	80	169
322	80	169
323	81	169
324	81	168
325	81	168
326	81	168
327	82	168
328	82	168
329	82	167
330	82	167
331	83	167
332	83	166
333	83	166
334	83	166
335	84	166
336	84	165
337	84	165
338	84	165
339	84	164
340	85	164
341	85	164
342	85	163
343	85	163
344	86	163
345	86	163
346	86	162
347	86	162
348	87	162
349	87	162
350	87	161
351	87	161
352	87	161
353	88	160
354	88	160
355	88	160
356	88	160
357	89	159
358	89	159
359	89	159
360	89	159
361	90	158
362	90	158
363	90	158
364	90	157
365	90	157
366	91	157
367	91	157
368	91	156
369	91	156
370	92	156
371	92	156
372	92	155
373	92	155
374	93	155
375	93	155
376	93	154
377	93	154
378	94	154
379	94	154
380	95	155
381	95	154
382	95	154
383	96	154
384	96	153
385	96	153
386	96	153
387	97	153
388	97	152
389	97	152
390	97	152
391	97	151
392	98	151
393	98	151
394	98	151
395	98	150
396	99	150
397	99	150
398	99	150
399	99	149
400	100	149
401	100	149
402	100	149
403	100	148
404	101	148
405	101	148
406	101	148
407	101	147
408	102	147
409	102	147
410	102	147
411	102	146
412	103	146
413	103	146
414	103	146
415	103	145
416	104	145
417	104	145
418	104	145
419	104	144
420	105	144
421	105	144
422	105	143
423	105	143
424	105	143
425	106	143
426	106	142
427	106	142
428	106	142
429	107	141
430	107	141
431	107	141
432	107	141
433	108	140
434	108	140
435	108	140
436	108	140
437	109	140
438	109	139
439	109	139
440	109	139
441	110	138
442	110	138
443	110	138
444	110	138
445	111	137
446	111	137
447	111	137
448	111	137
449	111	136
450	112	136
451	112	136
452	112	136
453	112	135
454	113	135
455	113	135
456	113	135
457	113	134
458	114	134
459	114	134
460	114	133
461	114	133
462	115	133
463	115	133
464	116	133
465	116	133
466	116	133
467	116	132
468	117	132
469	117	132
470	117	132
471	117	131
472	118	131
473	118	131
474	118	131
475	118	130
476	119	130
477	119	130
478	119	130
479	119	129
480	120	129
481	120	129
482	120	129
483	120	128
484	120	128
485	121	128
486	121	127
487	121	127
488	121	127
489	122	127
490	122	126
491	122	126
492	122	126
493	123	126
494	123	125
495	123	125
496	123	125
497	124	125
498	124	124
499	124	124
500	125	124
501	125	124
502	125	123
503	125	123
504	125	123
505	126	123
506	126	122
507	126	122
508	126	122
509	127	122
510	127	121
511	127	121
512	127	121
513	128	121
514	128	121
515	128	120
516	128	120
517	129	120
518	129	119
519	129	119
520	129	119
521	130	119
522	130	118
523	130	118
524	130	118
525	131	118
526	131	117
527	131	117
528	131	117
529	132	117
530	132	116
531	132	116
532	132	116
533	132	116
534	133	115
535	133	115
536	133	115
537	133	115
538	134	114
539	134	114
540	134	114
541	134	113
542	135	113
543	135	113
544	135	113
545	135	112
546	136	112
547	136	112
548	136	112
549	136	111
550	137	111
551	137	111
552	137	111
553	137	110
554	137	110
555	138	110
556	138	110
557	138	109
558	138	109
559	139	109
560	139	108
561	139	108
562	139	108
563	140	108
564	140	108
565	140	107
566	140	107
567	141	107
568	141	107
569	141	106
570	141	106
571	142	106
572	142	106
573	142	105
574	142	105
575	143	105
576	143	105
577	143	104
578	143	104
579	143	104
580	144	103
581	144	103
582	144	103
583	144	103
584	145	102
585	145	102
586	145	102
587	145	102
588	146	101
589	146	101
590	146	101
591	146	101
592	147	100
593	147	100
594	147	100
595	147	100
596	148	99
597	148	99
598	148	99
599	148	99
600	148	98
601	149	98
602	149	98
603	149	98
604	149	97
605	150	97
606	150	97
607	150	97
608	150	96
609	151	96
610	151	96
611	151	96
612	151	95
613	152	95
614	152	95
615	152	95
616	153	95
617	153	94
618	153	94
619	154	94
620	154	94
621	154	93
622	154	93
623	155	93
624	155	93
625	155	92
626	155	92
627	155	92
628	156	92
629	156	91
630	156	91
631	156	91
632	157	91
633	157	90
634	157	90
635	157	90
636	158	90
637	158	89
638	158	89
639	158	89
640	159	89
641	159	88
642	159	88
643	160	88
644	160	88
645	161	88
646	161	88
647	161	87
648	161	87
649	162	87
650	162	87
651	162	86
652	162	86
653	163	86
654	163	86
655	163	85
656	163	85
657	164	85
658	164	85
659	164	84
660	164	84
661	165	84
662	165	84
663	165	83
664	165	83
665	165	83
666	166	82
667	166	82
668	166	82
669	167	82
670	167	82
671	167	81
672	167	81
673	168	81
674	168	81
675	168	80
676	168	80
677	169	80
678	169	80
679	170	80
680	170	79
681	170	79
682	170	79
683	171	79
684	171	78
685	171	78
686	171	78
687	172	78
688	172	77
689	172	77
690	172	77
691	173	77
692	173	76
693	173	76
694	173	76
695	174	76
696	174	75
697	174	75
698	174	75
699	174	74
700	175	74
701	175	74
702	175	74
703	175	73
704	176	73
705	176	73
706	176	73
707	176	72
708	177	72
709	177	72
710	177	72
711	177	71
712	177	71
713	178	71
714	178	71
715	178	70
716	179	70
717	179	70
718	179	70
719	179	69
720	180	69
721	180	69
722	180	69
723	180	68
724	181	68
725	181	68
726	181	68
727	181	67
728	182	67
729	182	67
730	182	67
731	182	66
732	182	66
733	183	66
734	183	66
735	183	65
736	183	65
737	184	65
738	184	65
739	184	64
740	184	64
741	185	64
742	185	64
743	185	63
744	186	63
745	186	63
746	186	63
747	186	62
748	186	62
749	187	62
750	187	62
751	187	61
752	187	61
753	188	61
754	188	61
755	188	60
756	189	60
757	189	60
758	189	60
759	189	59
760	189	59
761	190	59
762	190	59
763	190	58
764	190	58
765	191	58
766	191	58
767	191	57
768	192	57
769	192	57
770	192	57
771	192	56
772	193	56
773	193	56
774	193	56
775	193	55
776	194	55
777	194	55
778	194	55
779	194	54
780	195	54
781	195	54
782	195	54
783	195	53
784	195	53
785	196	53
786	196	53
787	196	52
788	196	52
789	197	52
790	197	52
791	197	51
792	197	51
793	198	51
794	198	51
795	198	50
796	198	50
797	198	50
798	199	50
799	199	49
800	199	49
801	199	49
802	200	49
803	200	48
804	200	48
805	200	48
806	200	48
807	201	47
808	201	47
809	201	47
810	201	47
811	202	46
812	202	46
813	202	46
814	202	46
815	203	45
816	203	45
817	203	45
818	203	45
819	204	44
820	204	44
821	204	44
822	204	44
823	205	43
824	205	43
825	205	43
826	205	43
827	206	42
828	206	42
829	206	42
830	206	42
831	207	41
832	207	41
833	207	41
834	207	41
835	208	40
836	208	40
837	208	40
838	208	40
839	209	39
840	209	39
841	209	39
842	209	39
843	210	38
844	210	38
845	210	38
846	210	38
847	211	37
848	211	37
849	212	37
850	212	37
851	213	37
852	213	36
853	213	36
854	213	36
855	213	35
856	214	35
857	214	35
858	214	35
859	214	34
860	215	34
861	215	34
862	215	34
863	215	33
864	216	33
865	216	33
866	216	33
867	216	32
868	217	32
869	217	32
870	217	32
871	217	31
872	217	31
873	218	31
874	218	31
875	218	30
876	219	30
877	219	30
878	219	30
